,Road_Configuration,Light_Condition
86,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DARK - ROADWAY NOT LIGHTED
87,"ONE-WAY,NOT DIVIDED",DAYLIGHT
88,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
89,"TWO-WAY,NOT DIVIDED",DAYLIGHT
90,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAWN
91,"TWO-WAY,NOT DIVIDED",DAYLIGHT
92,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
93,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
94,UNKNOWN,UNKNOWN
95,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
96,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
97,"TWO-WAY,NOT DIVIDED",DAYLIGHT
98,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
99,"TWO-WAY,NOT DIVIDED",DAYLIGHT
100,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
101,"TWO-WAY,NOT DIVIDED",DARK - UNKNOWN LIGHTING
102,"ONE-WAY,NOT DIVIDED",DAYLIGHT
103,"TWO-WAY,NOT DIVIDED",DAYLIGHT
104,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
105,"TWO-WAY,NOT DIVIDED",DARK - UNKNOWN LIGHTING
106,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
107,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
108,"TWO-WAY,NOT DIVIDED",DUSK
109,"TWO-WAY,NOT DIVIDED",DAYLIGHT
110,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
111,"TWO-WAY,NOT DIVIDED",DAYLIGHT
112,"TWO-WAY,NOT DIVIDED",DAYLIGHT
113,"TWO-WAY,NOT DIVIDED",DAYLIGHT
114,"TWO-WAY,NOT DIVIDED",DAYLIGHT
115,"TWO-WAY,NOT DIVIDED",DUSK
116,"TWO-WAY,NOT DIVIDED",DAYLIGHT
117,UNKNOWN,UNKNOWN
118,"TWO-WAY,NOT DIVIDED",DAYLIGHT
119,"TWO-WAY,NOT DIVIDED",DUSK
120,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
121,"TWO-WAY,NOT DIVIDED",DAYLIGHT
122,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
123,"TWO-WAY,NOT DIVIDED",DAYLIGHT
124,"ONE-WAY,NOT DIVIDED",DAYLIGHT
125,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
126,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
127,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
128,"TWO-WAY,NOT DIVIDED",DAYLIGHT
129,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
130,"TWO-WAY,NOT DIVIDED",DARK - LIGHTED ROADWAY
131,"TWO-WAY,NOT DIVIDED",DAYLIGHT
132,"TWO-WAY,NOT DIVIDED",DAYLIGHT
133,"TWO-WAY,NOT DIVIDED",DAYLIGHT
134,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
135,"TWO-WAY,NOT DIVIDED",DAYLIGHT
136,"ONE-WAY,NOT DIVIDED",DAYLIGHT
137,"TWO-WAY,NOT DIVIDED",DAYLIGHT
138,"TWO-WAY,NOT DIVIDED",DAYLIGHT
139,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
140,"TWO-WAY,NOT DIVIDED",DAYLIGHT
141,"TWO-WAY,NOT DIVIDED",DAYLIGHT
142,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
143,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
144,"TWO-WAY,NOT DIVIDED",DAYLIGHT
145,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
146,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DARK - LIGHTED ROADWAY
147,UNKNOWN,DAYLIGHT
148,"TWO-WAY,NOT DIVIDED",DAYLIGHT
149,"TWO-WAY,NOT DIVIDED",DAYLIGHT
150,"TWO-WAY,NOT DIVIDED",DAYLIGHT
151,"ONE-WAY,NOT DIVIDED",DAYLIGHT
152,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
153,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
154,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
155,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
156,"TWO-WAY,NOT DIVIDED",DAYLIGHT
157,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
158,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
159,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
160,"TWO-WAY,NOT DIVIDED",DAYLIGHT
161,"TWO-WAY,NOT DIVIDED",DAYLIGHT
162,UNKNOWN,UNKNOWN
163,"TWO-WAY,NOT DIVIDED",DAYLIGHT
164,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
165,"TWO-WAY,NOT DIVIDED",DAYLIGHT
166,"ONE-WAY,NOT DIVIDED",DAYLIGHT
167,"ONE-WAY,NOT DIVIDED",DAYLIGHT
168,"TWO-WAY,NOT DIVIDED",DAYLIGHT
169,"TWO-WAY,NOT DIVIDED",DAYLIGHT
170,"TWO-WAY,NOT DIVIDED",DAYLIGHT
171,"TWO-WAY,NOT DIVIDED",DAYLIGHT
172,UNKNOWN,UNKNOWN
173,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
174,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
175,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
176,"TWO-WAY,NOT DIVIDED",DAYLIGHT
177,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
178,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
179,"ONE-WAY,NOT DIVIDED",DAYLIGHT
180,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
181,"TWO-WAY,NOT DIVIDED",DAWN
182,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
183,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
184,"TWO-WAY,NOT DIVIDED",DAYLIGHT
185,"TWO-WAY,NOT DIVIDED",DAYLIGHT
186,"ONE-WAY,NOT DIVIDED",DUSK
187,UNKNOWN,UNKNOWN
188,"TWO-WAY,NOT DIVIDED",DAYLIGHT
189,"TWO-WAY,NOT DIVIDED",DAYLIGHT
190,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DARK - LIGHTED ROADWAY
191,"TWO-WAY,NOT DIVIDED",DAYLIGHT
192,"TWO-WAY,NOT DIVIDED",DAYLIGHT
193,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
194,"TWO-WAY,NOT DIVIDED",DAYLIGHT
195,"TWO-WAY,NOT DIVIDED",DAYLIGHT
196,"TWO-WAY,NOT DIVIDED",DAYLIGHT
197,"TWO-WAY,NOT DIVIDED",DAYLIGHT
198,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
199,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
200,"TWO-WAY,NOT DIVIDED",DARK - LIGHTED ROADWAY
201,"TWO-WAY,NOT DIVIDED",DARK - LIGHTED ROADWAY
202,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
203,"TWO-WAY,NOT DIVIDED",DAYLIGHT
204,"TWO-WAY,NOT DIVIDED",DAYLIGHT
205,"TWO-WAY,NOT DIVIDED",DAYLIGHT
206,"TWO-WAY,NOT DIVIDED",DAYLIGHT
207,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
208,"TWO-WAY,NOT DIVIDED",DAYLIGHT
209,"TWO-WAY,NOT DIVIDED",DAYLIGHT
210,"TWO-WAY,NOT DIVIDED",DAYLIGHT
211,"TWO-WAY,NOT DIVIDED",DAYLIGHT
212,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
213,"ONE-WAY,NOT DIVIDED",DAYLIGHT
214,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
215,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
216,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
217,"TWO-WAY,NOT DIVIDED",DAYLIGHT
218,"TWO-WAY,NOT DIVIDED",DARK - LIGHTED ROADWAY
219,"TWO-WAY,NOT DIVIDED",DAYLIGHT
220,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
221,"TWO-WAY,NOT DIVIDED",DAYLIGHT
222,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
223,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
224,"TWO-WAY,NOT DIVIDED",DAYLIGHT
225,"TWO-WAY,NOT DIVIDED",DAWN
226,"TWO-WAY,NOT DIVIDED",DAYLIGHT
227,"TWO-WAY,NOT DIVIDED",DAYLIGHT
228,"TWO-WAY,NOT DIVIDED",DAYLIGHT
229,"TWO-WAY,NOT DIVIDED",DAYLIGHT
230,"TWO-WAY,NOT DIVIDED",DARK - LIGHTED ROADWAY
231,"TWO-WAY,NOT DIVIDED",DAYLIGHT
232,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
233,"TWO-WAY,NOT DIVIDED",DUSK
234,"TWO-WAY,NOT DIVIDED",DAYLIGHT
235,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
236,"TWO-WAY,NOT DIVIDED",DARK - LIGHTED ROADWAY
237,"TWO-WAY,NOT DIVIDED",DAYLIGHT
238,"TWO-WAY,NOT DIVIDED",DAYLIGHT
239,"TWO-WAY,NOT DIVIDED",DARK - LIGHTED ROADWAY
240,"TWO-WAY,DIVIDED,POSITIVE MEDIAN BARRIER",DAYLIGHT
241,"TWO-WAY,NOT DIVIDED",DAYLIGHT
242,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
243,"TWO-WAY,NOT DIVIDED",DAYLIGHT
244,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
245,"TWO-WAY,NOT DIVIDED",DAYLIGHT
246,"TWO-WAY,NOT DIVIDED",DARK - LIGHTED ROADWAY
247,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
248,"TWO-WAY,DIVIDED,UNPROTECTED MEDIAN",DAYLIGHT
249,"TWO-WAY,NOT DIVIDED",DAYLIGHT
